BookCode,Sentiment_Score
22979,0.5950927894062478
22720,0.586805307310402
84987,0.5819093416821898
22722,0.5779565884247194
104987,0.2511083883590119
124987,0.24481580199904746
62979,0.24299769720725134
42720,0.24164013402829454
52722,0.24104825123152734
32720,0.23985245708911399
94987,0.23866310007165017
52979,0.23591672146547663
32979,0.23471753166128664
114987,0.23425190184049083
52720,0.23388638370951917
62720,0.23224866483653647
32722,0.23076708373436036
42979,0.22640135467980332
62722,0.21438444281882488
42722,0.21361232437761832
